Date,Open,High,Low,Close,Adj Close,Volume
2020-09-24,60.639999,61.240002,58.270000,59.970001,59.970001,6456400
2020-09-25,63.220001,64.910004,61.779999,64.589996,64.589996,7922100
2020-09-28,66.129997,66.830002,63.320000,66.089996,66.089996,5677500
2020-09-29,65.860001,66.230003,63.509998,64.400002,64.400002,4396300
2020-09-30,66.470001,68.209999,64.180000,64.730003,64.730003,7994700
2020-10-01,65.150002,65.919998,63.570000,65.550003,65.550003,5432000
2020-10-02,62.500000,65.760002,62.299999,65.260002,65.260002,4949000
2020-10-05,65.000000,66.099998,64.500000,65.250000,65.250000,3575800
2020-10-06,66.000000,69.910004,65.769997,66.180000,66.180000,7355400
2020-10-07,67.470001,68.639999,66.099998,68.019997,68.019997,4551400
2020-10-08,68.809998,69.360001,67.250000,69.290001,69.290001,4740300
2020-10-09,69.400002,72.110001,68.800003,71.089996,71.089996,6369900
2020-10-12,70.360001,70.730003,69.180000,69.830002,69.830002,4336100
2020-10-13,64.190002,64.639999,60.029999,60.610001,60.610001,23821400
2020-10-14,61.349998,62.480000,59.639999,59.910000,59.910000,18061300
2020-10-15,58.669998,59.549999,57.849998,59.380001,59.380001,7955200
2020-10-16,59.490002,59.980000,57.900002,58.830002,58.830002,6332200
2020-10-19,59.520000,60.869999,58.770000,59.709999,59.709999,6251900
2020-10-20,60.799999,62.040001,60.020000,61.790001,61.790001,6258700
2020-10-21,61.560001,61.570000,60.020000,60.689999,60.689999,3869300
2020-10-22,61.099998,63.459999,61.080002,63.389999,63.389999,6314300
2020-10-23,63.910000,64.769997,62.880001,64.480003,64.480003,5040600
2020-10-26,62.220001,62.270000,55.810001,58.259998,58.259998,12161300
2020-10-27,58.090000,59.410000,57.279999,57.380001,57.380001,5285500
2020-10-28,55.130001,55.610001,53.060001,53.119999,53.119999,9382600
2020-10-29,53.020000,54.369999,51.330002,53.830002,53.830002,8947300
2020-10-30,52.970001,57.799999,51.369999,56.419998,56.419998,17043800
2020-11-02,55.000000,57.099998,53.849998,57.020000,57.020000,7320100
2020-11-03,56.900002,58.650002,56.340000,57.570000,57.570000,4837500
2020-11-04,57.209999,58.610001,56.400002,56.980000,56.980000,3503500
